"統計名：","人口動態調査 人口動態統計 確定数 総覧"
"表番号：","3-3-1"
"表題：","[上巻] 都道府県（特別区－指定都市再掲）別にみた人口動態総覧"
"実施年月：","2022年","-"
"市区町村時点（年月日）：","-"

"***","調査又は集計していないもの"
"-","計数のない場合"
"…","計数不明の場合"
"・","統計項目のありえない場合"

"","","","","","","/人口動態総覧 コード","00100","00110","00150","00180","00190","00200","00210","00220","00230","00240","00250","00260","00270","00280","00290","00300","00320","00330","00340","00350","00360","00370","00380","00390","00400","00410","00420","00430"
"","","","","","","/人口動態総覧 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"時間軸(年次) コード","時間軸(年次) 補助コード","時間軸(年次)","都道府県（特別区－指定都市再掲） コード","都道府県（特別区－指定都市再掲） 補助コード","都道府県（特別区－指定都市再掲）","/人口動態総覧","人口【人】","出生数【人】","死亡数【人】","乳児死亡数【人】","新生児死亡数【人】","自然増減数【人】","死産数【胎】","自然死産数【胎】","人工死産数【胎】","周産期死亡数【胎・人】","満22週以後の死産数【胎】","早期新生児死亡【人】","婚姻件数【件】","離婚件数【件】","出生率【人口千対】","合計特殊出生率","死亡率【人口千対】","乳児死亡率【出生千対】","新生児死亡率【出生千対】","自然増減率【人口千対】","死産率【出産千対】","自然死産率【出産千対】","人工死産率【出産千対】","周産期死亡率【出産千対】","満22週以後の死産率【出産千対】","早期新生児死亡率【出生千対】","婚姻率【人口千対】","離婚率【人口千対】"
"2022000000","","2022年","16000","","富山県","","998,000","6,022","15,052","9","6","-9,030","106","66","40","24","20","4","3,496","1,074","6.0","1.46","15.1","1.5","1.0","-9.0","17.3","10.8","6.5","4.0","3.3","0.7","3.5","1.08"
"2022000000","","2022年","17000","","石川県","","1,102,000","7,075","14,316","13","4","-7,241","134","74","60","29","26","3","4,214","1,255","6.4","1.38","13.0","1.8","0.6","-6.6","18.6","10.3","8.3","4.1","3.7","0.4","3.8","1.14"
"2022000000","","2022年","18000","","福井県","","738,000","4,861","10,519","9","6","-5,658","90","38","52","14","10","4","2,815","850","6.6","1.50","14.3","1.9","1.2","-7.7","18.2","7.7","10.5","2.9","2.1","0.8","3.8","1.15"
"2022000000","","2022年","19000","","山梨県","","784,000","4,759","11,090","11","4","-6,331","81","48","33","15","11","4","2,875","1,128","6.1","1.40","14.1","2.3","0.8","-8.1","16.7","9.9","6.8","3.1","2.3","0.8","3.7","1.44"
"2022000000","","2022年","20000","","長野県","","1,984,000","12,143","28,503","19","5","-16,360","224","104","120","34","31","3","7,288","2,559","6.1","1.43","14.4","1.6","0.4","-8.2","18.1","8.4","9.7","2.8","2.5","0.2","3.7","1.29"
"2022000000","","2022年","21000","","岐阜県","","1,888,000","11,124","26,175","28","9","-15,051","186","100","86","41","34","7","6,525","2,565","5.9","1.36","13.9","2.5","0.8","-8.0","16.4","8.8","7.6","3.7","3.0","0.6","3.5","1.36"
"2022000000","","2022年","22000","","静岡県","","3,484,000","20,575","47,334","44","19","-26,759","382","184","198","66","51","15","13,127","4,957","5.9","1.33","13.6","2.1","0.9","-7.7","18.2","8.8","9.4","3.2","2.5","0.7","3.8","1.42"
"2022000000","","2022年","23000","","愛知県","","7,228,000","51,152","81,183","95","44","-30,031","885","454","431","151","121","30","33,434","11,061","7.1","1.35","11.2","1.9","0.9","-4.2","17.0","8.7","8.3","2.9","2.4","0.6","4.6","1.53"
"2022000000","","2022年","24000","","三重県","","1,689,000","10,489","23,341","9","4","-12,852","184","95","89","31","27","4","6,443","2,481","6.2","1.40","13.8","0.9","0.4","-7.6","17.2","8.9","8.3","2.9","2.6","0.4","3.8","1.47"
"2022000000","","2022年","25000","","滋賀県","","1,373,000","9,766","15,043","18","6","-5,277","188","98","90","22","17","5","5,642","1,836","7.1","1.43","11.0","1.8","0.6","-3.8","18.9","9.8","9.0","2.2","1.7","0.5","4.1","1.34"
"2022000000","","2022年","26000","","京都府","","2,485,000","15,068","31,491","31","14","-16,423","322","153","169","45","34","11","9,571","3,514","6.1","1.18","12.7","2.1","0.9","-6.6","20.9","9.9","11.0","3.0","2.3","0.7","3.9","1.41"
"2022000000","","2022年","27000","","大阪府","","8,524,000","57,315","106,277","100","44","-48,962","1,103","493","610","198","162","36","40,362","14,462","6.7","1.22","12.5","1.7","0.8","-5.7","18.9","8.4","10.4","3.4","2.8","0.6","4.7","1.70"
"2022000000","","2022年","28000","","兵庫県","","5,287,000","33,565","66,541","41","16","-32,976","624","334","290","96","81","15","20,844","7,902","6.3","1.31","12.6","1.2","0.5","-6.2","18.3","9.8","8.5","2.9","2.4","0.4","3.9","1.49"
"2022000000","","2022年","29000","","奈良県","","1,291,000","7,315","17,166","16","6","-9,851","149","73","76","24","20","4","4,205","1,780","5.7","1.25","13.3","2.2","0.8","-7.6","20.0","9.8","10.2","3.3","2.7","0.5","3.3","1.38"
"2022000000","","2022年","30000","","和歌山県","","896,000","5,238","14,308","9","3","-9,070","112","59","53","23","20","3","3,193","1,386","5.8","1.39","16.0","1.7","0.6","-10.1","20.9","11.0","9.9","4.4","3.8","0.6","3.6","1.55"
"2022000000","","2022年","31000","","鳥取県","","539,000","3,752","8,031","5","3","-4,279","61","30","31","12","10","2","1,981","763","7.0","1.60","14.9","1.3","0.8","-7.9","16.0","7.9","8.1","3.2","2.7","0.5","3.7","1.42"
"2022000000","","2022年","32000","","島根県","","648,000","4,161","10,434","4","1","-6,273","71","45","26","15","14","1","2,167","813","6.4","1.57","16.1","1.0","0.2","-9.7","16.8","10.6","6.1","3.6","3.4","0.2","3.3","1.25"
"2022000000","","2022年","33000","","岡山県","","1,832,000","12,371","24,901","16","8","-12,530","239","124","115","44","38","6","7,399","2,787","6.8","1.39","13.6","1.3","0.6","-6.8","19.0","9.8","9.1","3.5","3.1","0.5","4.0","1.52"
"2022000000","","2022年","34000","","広島県","","2,708,000","17,903","34,940","17","6","-17,037","313","167","146","56","50","6","10,883","3,962","6.6","1.40","12.9","0.9","0.3","-6.3","17.2","9.2","8.0","3.1","2.8","0.3","4.0","1.46"
"2022000000","","2022年","35000","","山口県","","1,297,000","7,762","20,687","8","2","-12,925","148","95","53","31","30","1","4,593","1,757","6.0","1.47","15.9","1.0","0.3","-10.0","18.7","12.0","6.7","4.0","3.9","0.1","3.5","1.35"
